<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SPFB.Si,1,20220601,100100,62097,62767,61592,62645,37437
SPFB.Si,1,20220601,100200,62643,62848,62380,62469,22401
SPFB.Si,1,20220601,100300,62475,62519,62251,62309,16761
SPFB.Si,1,20220601,100400,62305,62480,62203,62469,11548
SPFB.Si,1,20220601,100500,62469,62484,62441,62441,1012
SPFB.Si,1,20220601,100600,62447,63125,62447,62904,30414
SPFB.Si,1,20220601,100700,62912,63000,62754,62853,15667
SPFB.Si,1,20220601,100800,62849,62974,62754,62931,10765
SPFB.Si,1,20220601,100900,62934,62947,62832,62856,4621
SPFB.Si,1,20220601,101000,62854,63000,62722,62750,8814
SPFB.Si,1,20220601,101100,62750,62765,62540,62582,14378
SPFB.Si,1,20220601,101200,62577,62854,62445,62790,15797
SPFB.Si,1,20220601,101300,62789,62789,62644,62741,611
SPFB.Si,1,20220601,101400,62760,62797,62629,62724,9301
SPFB.Si,1,20220601,101500,62724,62816,62656,62712,7270
SPFB.Si,1,20220601,101600,62718,62735,62620,62664,6899
SPFB.Si,1,20220601,101700,62660,62667,62435,62552,14419
SPFB.Si,1,20220601,101800,62555,62589,62439,62465,8519
SPFB.Si,1,20220601,101900,62464,62510,62331,62400,13102
SPFB.Si,1,20220601,102000,62400,62490,62271,62489,11349
SPFB.Si,1,20220601,102100,62489,62571,62300,62424,12173
SPFB.Si,1,20220601,102200,62421,62509,62300,62411,11646
SPFB.Si,1,20220601,102300,62410,62426,62241,62250,11638
SPFB.Si,1,20220601,102400,62250,62358,62241,62341,6403
SPFB.Si,1,20220601,102500,62341,62499,62320,62460,7007
SPFB.Si,1,20220601,102600,62454,62462,62328,62369,5048
SPFB.Si,1,20220601,102700,62373,62512,62345,62474,7064
SPFB.Si,1,20220601,102800,62475,62475,62328,62381,5256
SPFB.Si,1,20220601,102900,62385,62389,62248,62260,6251
SPFB.Si,1,20220601,103000,62258,62266,62123,62208,11518
SPFB.Si,1,20220601,103100,62208,62249,62102,62110,12923
SPFB.Si,1,20220601,103200,62110,62175,62029,62141,13093
SPFB.Si,1,20220601,103300,62141,62248,62112,62193,7355
SPFB.Si,1,20220601,103400,62188,62237,62105,62225,5362
SPFB.Si,1,20220601,103500,62222,62280,62200,62213,4849
SPFB.Si,1,20220601,103600,62208,62275,62128,62250,5749
SPFB.Si,1,20220601,103700,62245,62335,62200,62237,7061
SPFB.Si,1,20220601,103800,62235,62298,62143,62229,5318
SPFB.Si,1,20220601,103900,62228,62254,62188,62236,2704
SPFB.Si,1,20220601,104000,62238,62277,62208,62240,1999
SPFB.Si,1,20220601,104100,62240,62245,62151,62154,5312
SPFB.Si,1,20220601,104200,62155,62226,62113,62222,4784
SPFB.Si,1,20220601,104300,62222,62280,62151,62195,3932
SPFB.Si,1,20220601,104400,62187,62234,62159,62196,2254
SPFB.Si,1,20220601,104500,62195,62267,62175,62267,2372
SPFB.Si,1,20220601,104600,62265,62265,62210,62217,1596
SPFB.Si,1,20220601,104700,62222,62374,62176,62358,9487
SPFB.Si,1,20220601,104800,62358,62595,62355,62522,18842
SPFB.Si,1,20220601,104900,62528,62550,62445,62445,6285
SPFB.Si,1,20220601,105000,62445,62519,62417,62482,4447
SPFB.Si,1,20220601,105100,62475,62515,62334,62400,7232
SPFB.Si,1,20220601,105200,62399,62454,62307,62329,5837
SPFB.Si,1,20220601,105300,62331,62448,62310,62428,4363
SPFB.Si,1,20220601,105400,62427,62522,62411,62466,5408
SPFB.Si,1,20220601,105500,62466,62487,62401,62426,2481
SPFB.Si,1,20220601,105600,62418,62545,62400,62536,5300
SPFB.Si,1,20220601,105700,62530,62583,62460,62548,6345
SPFB.Si,1,20220601,105800,62550,62573,62467,62494,3616
SPFB.Si,1,20220601,105900,62494,62519,62425,62437,4827
SPFB.Si,1,20220601,110000,62437,62478,62344,62366,4918
SPFB.Si,1,20220601,110100,62358,62374,62201,62311,9754
SPFB.Si,1,20220601,110200,62304,62307,62116,62149,8928
SPFB.Si,1,20220601,110300,62142,62173,62102,62152,7813
SPFB.Si,1,20220601,110400,62146,62180,62118,62134,4580
SPFB.Si,1,20220601,110500,62138,62139,61967,62067,16996
SPFB.Si,1,20220601,110600,62060,62082,61916,61980,15770
SPFB.Si,1,20220601,110700,61981,62100,61956,62087,7423
SPFB.Si,1,20220601,110800,62087,62147,62052,62116,5217
SPFB.Si,1,20220601,110900,62115,62154,62102,62124,3337
SPFB.Si,1,20220601,111000,62128,62200,62127,62200,5010
SPFB.Si,1,20220601,111100,62200,62223,62062,62116,6584
SPFB.Si,1,20220601,111200,62116,62200,62092,62200,3511
SPFB.Si,1,20220601,111300,62197,62219,62148,62219,3270
SPFB.Si,1,20220601,111400,62208,62268,62177,62253,4759
SPFB.Si,1,20220601,111500,62253,62287,62224,62270,3384
SPFB.Si,1,20220601,111600,62277,62279,62117,62219,6180
SPFB.Si,1,20220601,111700,62215,62282,62180,62282,4196
